SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12,SNV,2016,"5,024,022,503",0.188,0.793,5.377,0.081,0.008,0.013,,15.311,7.313,0.54,-0.519
12,SNV,2017,"5,729,540,902",0.14,0.631,3.219,0.089,0.009,0.015,,15.308,7.381,1.302,-0.088
12,SNV,2018,"3,722,869,488",-0.35,0.812,5.248,0.134,0.013,0.017,,15.222,7.442,2.274,0.013
12,SNV,2019,"5,744,555,611",0.543,0.824,7.276,0.113,0.011,0.015,,15.23,7.492,1.551,0.029
13,MFG,2010,"25,720,700,165",0.168,11.301,56.138,0.124,0.003,0.003,,14.688,6.887,0.183,-28.982
13,MFG,2011,"35,178,229,292",0.368,9.021,-20.675,0.161,0.004,0.003,,14.877,6.972,0.072,-20.251
13,MFG,2012,"51,342,833,827",0.46,6.844,-27.201,0.172,0.005,0.004,,14.881,7.053,0.165,-15.307
13,MFG,2013,"48,088,080,309",-0.063,6.265,7.222,0.082,0.003,0.004,,15.2,7.115,0.085,-7.407
13,MFG,2014,"43,068,396,207",-0.104,5.171,49.553,0.112,0.004,0.006,,15.319,7.19,0.123,-2.841
13,MFG,2015,"36,194,190,011",-0.16,4.53,-365.473,0.107,0.004,0.006,,15.317,7.255,0.241,-1.759
13,MFG,2016,"46,181,319,837",0.276,4.287,44.814,0.045,0.002,0.002,,15.311,7.313,0.54,-0.519
13,MFG,2017,"46,964,669,698",0.017,3.791,-78.005,0.067,0.003,0.004,,15.308,7.381,1.302,-0.088
13,MFG,2018,"38,846,156,766",-0.173,3.575,61.03,0.01,0,0.001,,15.222,7.442,2.274,0.013
13,MFG,2019,"29,328,336,281",-0.245,4.189,-8.357,0.017,0.001,0.001,,15.23,7.492,1.551,0.029
14,CFR,2010,"3,724,569,310",0.243,0.412,2.078,0.102,0.012,0.018,,14.688,6.887,0.183,-28.982
14,CFR,2011,"3,240,485,860",-0.13,0.414,3.799,0.099,0.011,0.018,,14.877,6.972,0.072,-20.251
14,CFR,2012,"3,335,599,669",0.029,0.325,2.801,0.1,0.011,0.016,,14.881,7.053,0.165,-15.307
14,CFR,2013,"4,502,856,166",0.35,0.355,5.849,0.094,0.01,0.015,,15.2,7.115,0.085,-7.407
14,CFR,2014,"4,454,451,946",-0.011,0.365,6.587,0.098,0.01,0.015,,15.319,7.19,0.123,-2.841
14,CFR,2015,"3,739,203,960",-0.161,0.391,4.513,0.094,0.01,0.013,,15.317,7.255,0.241,-1.759
14,CFR,2016,"5,554,947,918",0.486,0.404,2.739,0.096,0.01,0.013,,15.311,7.313,0.54,-0.519
14,CFR,2017,"5,978,519,073",0.076,0.419,2.719,0.111,0.012,0.015,,15.308,7.381,1.302,-0.088
14,CFR,2018,"5,623,241,164",-0.059,0.476,3.226,0.135,0.014,0.018,,15.222,7.442,2.274,0.013
14,CFR,2019,"6,117,651,559",0.088,0.494,4.434,0.115,0.013,0.016,,15.23,7.492,1.551,0.029
15,WTFC,2010,"1,029,110,623",0.383,1.103,16.947,0.023,0.002,0.007,,14.688,6.887,0.183,-28.982
15,WTFC,2011,"1,007,970,691",-0.021,1.202,11.237,0.049,0.005,0.008,,14.877,6.972,0.072,-20.251
15,WTFC,2012,"1,337,367,084",0.327,0.529,4.915,0.059,0.006,0.011,,14.881,7.053,0.165,-15.307
15,WTFC,2013,"1,841,735,280",0.377,0.485,3.697,0.069,0.007,0.013,,15.2,7.115,0.085,-7.407
15,WTFC,2014,"2,184,398,029",0.186,0.637,7.84,0.072,0.008,0.013,,15.319,7.19,0.123,-2.841
15,WTFC,2015,"2,346,773,972",0.074,0.649,-339.783,0.064,0.007,0.012,,15.317,7.255,0.241,-1.759
15,WTFC,2016,"3,757,035,403",0.601,0.3,2.92,0.074,0.008,0.014,,15.311,7.313,0.54,-0.519
15,WTFC,2017,"4,606,398,020",0.226,0.409,3.558,0.086,0.009,0.015,,15.308,7.381,1.302,-0.088
15,WTFC,2018,"3,749,526,288",-0.186,0.371,3.927,0.106,0.011,0.016,,15.222,7.442,2.274,0.013
15,WTFC,2019,"4,046,428,835",0.079,0.483,9.69,0.099,0.01,0.014,,15.23,7.492,1.551,0.029
16,BOKF,2010,"3,636,066,128",0.13,1.394,10.375,0.101,0.01,0.014,,14.688,6.887,0.183,-28.982
16,BOKF,2011,"3,735,591,003",0.027,1.007,7.031,0.107,0.012,0.017,,14.877,6.972,0.072,-20.251
16,BOKF,2012,"3,715,008,179",-0.006,1.032,4.574,0.121,0.013,0.019,,14.881,7.053,0.165,-15.307
16,BOKF,2013,"4,561,992,571",0.228,1.016,4.074,0.106,0.012,0.016,,15.2,7.115,0.085,-7.407
16,BOKF,2014,"4,163,023,380",-0.087,1.128,-52.723,0.091,0.01,0.015,,15.319,7.19,0.123,-2.841
16,BOKF,2015,"4,048,562,123",-0.027,1.943,27.743,0.087,0.009,0.013,,15.317,7.255,0.241,-1.759
16,BOKF,2016,"5,473,204,100",0.352,1.746,-61.59,0.07,0.007,0.009,,15.311,7.313,0.54,-0.519
16,BOKF,2017,"6,042,970,484",0.104,1.675,24.581,0.097,0.01,0.015,,15.308,7.381,1.302,-0.088
16,BOKF,2018,"4,798,294,139",-0.206,1.674,-12.215,0.118,0.013,0.014,,15.222,7.442,2.274,0.013
16,BOKF,2019,"6,192,990,074",0.291,1.775,-10.834,0.106,0.012,0.013,,15.23,7.492,1.551,0.029
17,FNB,2010,"1,125,779,667",0.455,1.078,7.514,0.07,0.008,0.011,,14.688,6.887,0.183,-28.982
17,FNB,2011,"1,437,899,350",0.277,0.945,4.197,0.073,0.009,0.012,,14.877,6.972,0.072,-20.251
17,FNB,2012,"1,484,623,187",0.032,0.982,2.591,0.08,0.009,0.013,,14.881,7.053,0.165,-15.307
17,FNB,2013,"2,004,907,105",0.35,0.823,4.409,0.077,0.009,0.012,,15.2,7.115,0.085,-7.407
17,FNB,2014,"2,311,532,967",0.153,1.278,6.055,0.069,0.009,0.013,,15.319,7.19,0.123,-2.841
17,FNB,2015,"2,339,531,861",0.012,1.283,12.586,0.073,0.009,0.013,,15.317,7.255,0.241,-1.759
17,FNB,2016,"3,373,592,849",0.442,1.183,13.058,0.064,0.008,0.011,,15.311,7.313,0.54,-0.519
17,FNB,2017,"4,468,145,665",0.324,0.986,19.581,0.043,0.006,0.011,,15.308,7.381,1.302,-0.088
17,FNB,2018,"3,191,073,673",-0.286,1.032,8.257,0.081,0.011,0.013,,15.222,7.442,2.274,0.013
17,FNB,2019,"4,126,545,836",0.293,0.933,21.39,0.079,0.011,0.013,,15.23,7.492,1.551,0.029
18,PB,2010,"1,832,941,652",-0.024,0.363,2.648,0.09,0.014,0.022,,14.688,6.887,0.183,-28.982
18,PB,2011,"1,892,130,290",0.032,0.097,0.686,0.093,0.015,0.024,,14.877,6.972,0.072,-20.251
18,PB,2012,"2,370,068,064",0.253,0.381,3.717,0.091,0.013,0.021,,14.881,7.053,0.165,-15.307
18,PB,2013,"4,180,796,105",0.764,0.179,1.687,0.092,0.013,0.021,,15.2,7.115,0.085,-7.407
18,PB,2014,"3,862,440,738",-0.076,0.152,1.348,0.096,0.014,0.023,,15.319,7.19,0.123,-2.841
18,PB,2015,"3,351,640,107",-0.132,0.233,2.565,0.085,0.013,0.021,,15.317,7.255,0.241,-1.759
18,PB,2016,"4,987,549,174",0.488,0.36,3.823,0.077,0.013,0.02,,15.311,7.313,0.54,-0.519
18,PB,2017,"4,868,744,721",-0.024,0.217,2.129,0.072,0.012,0.019,,15.308,7.381,1.302,-0.088
18,PB,2018,"4,350,999,978",-0.106,0.325,4.137,0.081,0.014,0.018,,15.222,7.442,2.274,0.013
18,PB,2019,"4,917,015,614",0.13,0.303,4.636,0.073,0.013,0.018,,15.23,7.492,1.551,0.029
19,HWC,2010,"1,285,960,893",-0.203,0.438,2.143,0.061,0.006,0.008,,14.688,6.887,0.183,-28.982
19,HWC,2011,"2,707,969,233",1.106,0.591,6.678,0.037,0.005,0.006,,14.877,6.972,0.072,-20.251
19,HWC,2012,"2,690,139,682",-0.007,0.422,2.549,0.063,0.008,0.011,,14.881,7.053,0.165,-15.307
19,HWC,2013,"3,011,753,205",0.12,0.43,2.355,0.068,0.009,0.012,,15.2,7.115,0.085,-7.407
19,HWC,2014,"2,504,163,265",-0.169,0.617,4.433,0.071,0.009,0.012,,15.319,7.19,0.123,-2.841
19,HWC,2015,"1,948,107,459",-0.222,0.793,8.461,0.054,0.006,0.008,,15.317,7.255,0.241,-1.759
19,HWC,2016,"3,343,441,727",0.716,0.611,5.004,0.059,0.006,0.008,,15.311,7.313,0.54,-0.519
19,HWC,2017,"4,216,449,600",0.261,0.697,5.142,0.076,0.008,0.011,,15.308,7.381,1.302,-0.088
19,HWC,2018,"2,951,015,899",-0.3,0.589,4.552,0.109,0.012,0.013,,15.222,7.442,2.274,0.013
19,HWC,2019,"3,826,959,974",0.297,0.887,9.947,0.097,0.011,0.013,,15.23,7.492,1.551,0.029
20,WAFD,2010,"1,718,602,109",0.158,1.469,11.373,0.066,0.009,0.008,,14.688,6.887,0.183,-28.982
20,WAFD,2011,"1,405,040,022",-0.182,1.469,11.155,0.06,0.008,0.012,,14.877,6.972,0.072,-20.251
20,WAFD,2012,"1,774,194,022",0.263,1.011,13.432,0.072,0.01,0.015,,14.881,7.053,0.165,-15.307
20,WAFD,2013,"2,140,432,114",0.206,1.018,12.962,0.079,0.012,0.017,,15.2,7.115,0.085,-7.407
20,WAFD,2014,"2,026,077,493",-0.053,0.993,16.068,0.08,0.011,0.016,,15.319,7.19,0.123,-2.841
20,WAFD,2015,"2,138,093,867",0.055,0.961,18.285,0.082,0.011,0.016,,15.317,7.255,0.241,-1.759
